1.778720336941025019e+09 6.682005000000000000e+07
1.778720337066682816e+09 6.678393700000000000e+07
1.778720337189527273e+09 6.674990700000000000e+07
1.778720337320193291e+09 6.678217500000000000e+07
1.778720337443279982e+09 6.681204500000000000e+07
1.778720337562728405e+09 6.676163800000000000e+07
1.778720337670316696e+09 6.683737500000000000e+07
1.778720337790600777e+09 6.675271000000000000e+07
1.778720337907945395e+09 6.677710100000000000e+07
1.778720338027964115e+09 6.673948000000000000e+07
1.778720338146722555e+09 6.678256500000000000e+07
1.778720338266373396e+09 6.681029200000000000e+07
1.778720338383094072e+09 6.678996600000000000e+07
1.778720338502597570e+09 6.676922800000000000e+07
1.778720338631714821e+09 6.676902300000000000e+07
1.778720338754661560e+09 6.674669700000000000e+07
1.778720338870926619e+09 6.675842600000000000e+07
1.778720339005381107e+09 6.676644300000000000e+07
1.778720339135194302e+09 6.679614700000000000e+07
1.778720339252674818e+09 6.673093100000000000e+07
1.778720339341731548e+09 6.675321800000000000e+07
1.778720339475215197e+09 6.675365000000000000e+07
1.778720339560238361e+09 6.676167100000000000e+07
1.778720339662400484e+09 6.675134600000000000e+07
1.778720339747865677e+09 6.676747500000000000e+07
1.778720339851789713e+09 6.675449000000000000e+07
1.778720339974235296e+09 6.682048900000000000e+07
1.778720340055444479e+09 6.678585100000000000e+07
1.778720340162615538e+09 6.677604100000000000e+07
1.778720340244757175e+09 6.677304100000000000e+07
1.778720340350223541e+09 6.675562100000000000e+07
1.778720340474287271e+09 6.676250100000000000e+07
1.778720340560916424e+09 6.680467200000000000e+07
1.778720340644415379e+09 6.681599000000000000e+07
1.778720340786805153e+09 6.675632900000000000e+07
1.778720340868275642e+09 6.679727300000000000e+07
1.778720340952042341e+09 6.674363900000000000e+07
1.778720341099803925e+09 6.673651400000000000e+07
1.778720341186941862e+09 6.677484400000000000e+07
1.778720341267819166e+09 6.677881000000000000e+07
1.778720341351070642e+09 6.675809900000000000e+07
1.778720341474853277e+09 6.681620800000000000e+07
1.778720341557889223e+09 6.675721200000000000e+07
1.778720341662330151e+09 6.674822400000000000e+07
1.778720341746964216e+09 6.678268900000000000e+07
1.778720341851196766e+09 6.674808400000000000e+07
1.778720341976462126e+09 6.677684300000000000e+07
1.778720342062890291e+09 6.680939900000000000e+07
1.778720342152970552e+09 6.677791800000000000e+07
1.778720342245501041e+09 6.677389000000000000e+07
1.778720342349626064e+09 6.680764800000000000e+07
1.778720342474310160e+09 6.682361800000000000e+07
1.778720342558714390e+09 6.675397200000000000e+07
1.778720342647442579e+09 6.679345100000000000e+07
1.778720342786911726e+09 6.676909800000000000e+07
1.778720342878011227e+09 6.677596200000000000e+07
1.778720342967504740e+09 6.678238100000000000e+07
1.778720343052436829e+09 6.679225300000000000e+07
1.778720343154289007e+09 6.674715900000000000e+07
1.778720343287328243e+09 6.677948600000000000e+07
1.778720343373320341e+09 6.675415100000000000e+07
1.778720343463136435e+09 6.675551200000000000e+07
1.778720343551077843e+09 6.680793000000000000e+07
1.778720343662378788e+09 6.682141600000000000e+07
1.778720343747155190e+09 6.681619000000000000e+07
1.778720343849398851e+09 6.679658300000000000e+07
1.778720343974819422e+09 6.681978400000000000e+07
1.778720344056251049e+09 6.679241100000000000e+07
1.778720344152261019e+09 6.685593800000000000e+07
1.778720344287401438e+09 6.686944800000000000e+07
1.778720344374085188e+09 6.691472500000000000e+07
1.778720344460099697e+09 6.692089000000000000e+07
1.778720344547310114e+09 6.695599900000000000e+07
1.778720344662002802e+09 6.698410600000000000e+07
1.778720344749482870e+09 6.689512800000000000e+07
1.778720344849367380e+09 6.682642800000000000e+07
1.778720344976220369e+09 6.681885200000000000e+07
1.778720345068028450e+09 6.683085800000000000e+07
1.778720345162069559e+09 6.683606200000000000e+07
1.778720345287358999e+09 6.681312100000000000e+07
1.778720345370729685e+09 6.676467500000000000e+07
1.778720345457064152e+09 6.681875100000000000e+07
1.778720345600027084e+09 6.675359200000000000e+07
1.778720345683163881e+09 6.680307400000000000e+07
1.778720345768175602e+09 6.677216800000000000e+07
1.778720345860047340e+09 6.679399900000000000e+07
1.778720345949686766e+09 6.678646800000000000e+07
1.778720346101131678e+09 6.683060700000000000e+07
1.778720346186070442e+09 6.678121000000000000e+07
1.778720346277832985e+09 6.685259000000000000e+07
1.778720346368437529e+09 6.681458800000000000e+07
1.778720346460754395e+09 6.682869200000000000e+07
1.778720346600785971e+09 6.685322100000000000e+07
1.778720346683254719e+09 6.685620800000000000e+07
1.778720346769928217e+09 6.685100500000000000e+07
1.778720346857971430e+09 6.692932600000000000e+07
1.778720346974368334e+09 6.701191800000000000e+07
1.778720347062919855e+09 6.704797200000000000e+07
1.778720347153466940e+09 6.701363300000000000e+07
1.778720347287132263e+09 6.690765900000000000e+07
1.778720347373937130e+09 6.684862400000000000e+07
1.778720347460109234e+09 6.684445700000000000e+07
1.778720347550431013e+09 6.683833300000000000e+07
1.778720347661947966e+09 6.681038500000000000e+07
1.778720347755983353e+09 6.683995200000000000e+07
1.778720347912481546e+09 6.682362800000000000e+07
1.778720347999003172e+09 6.686979300000000000e+07
1.778720348090031385e+09 6.682478900000000000e+07
1.778720348181041479e+09 6.678706000000000000e+07
1.778720348272539377e+09 6.683393600000000000e+07
1.778720348365552902e+09 6.687116000000000000e+07
1.778720348452110529e+09 6.688227200000000000e+07
1.778720348602010965e+09 6.682379500000000000e+07
1.778720348688553333e+09 6.691363900000000000e+07
1.778720348779943705e+09 6.694876800000000000e+07
1.778720348866470337e+09 6.704781100000000000e+07
1.778720348960534811e+09 6.715469600000000000e+07
1.778720349058195114e+09 6.728213400000000000e+07
1.778720349162484169e+09 6.720163300000000000e+07
1.778720349289251566e+09 6.719025400000000000e+07
1.778720349379834175e+09 6.725332300000000000e+07
1.778720349468734741e+09 6.727695400000000000e+07
1.778720349562284708e+09 6.729610900000000000e+07
1.778720349652661800e+09 6.721766100000000000e+07
1.778720349787945747e+09 6.707358700000000000e+07
1.778720349876090050e+09 6.700740900000000000e+07
1.778720349962991953e+09 6.693930000000000000e+07
1.778720350055560589e+09 6.690227700000000000e+07
1.778720350162008524e+09 6.686238700000000000e+07
1.778720350286927938e+09 6.687713400000000000e+07
1.778720350378005505e+09 6.684992800000000000e+07
1.778720350467611074e+09 6.684044700000000000e+07
1.778720350559619188e+09 6.685306600000000000e+07
1.778720350661997795e+09 6.680774700000000000e+07
1.778720350786936998e+09 6.681930700000000000e+07
1.778720350876490355e+09 6.686520500000000000e+07
1.778720350963660002e+09 6.684430000000000000e+07
1.778720351100465298e+09 6.679474000000000000e+07
1.778720351189422369e+09 6.677079300000000000e+07
1.778720351282531738e+09 6.684745800000000000e+07
1.778720351376484632e+09 6.677674400000000000e+07
1.778720351467044115e+09 6.678632100000000000e+07
1.778720351601481199e+09 6.676071600000000000e+07
1.778720351691764593e+09 6.680034800000000000e+07
1.778720351783832312e+09 6.679405000000000000e+07
1.778720351874469280e+09 6.681083800000000000e+07
1.778720351967699289e+09 6.675583700000000000e+07
1.778720352057540178e+09 6.677482800000000000e+07
1.778720352163583040e+09 6.677967200000000000e+07
1.778720352287454128e+09 6.680890800000000000e+07
1.778720352376898050e+09 6.680805900000000000e+07
1.778720352468171597e+09 6.683373300000000000e+07
1.778720352555859089e+09 6.673779300000000000e+07
1.778720352663446426e+09 6.680317800000000000e+07
1.778720352786988497e+09 6.685263200000000000e+07
1.778720352873437405e+09 6.679824100000000000e+07
1.778720352964594126e+09 6.681533900000000000e+07
1.778720353057001591e+09 6.684924700000000000e+07
1.778720353162565231e+09 6.686139100000000000e+07
1.778720353287491560e+09 6.686419300000000000e+07
1.778720353373287916e+09 6.689371200000000000e+07
